"as_of_date","location","listings"
2021-10-19,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$2,840 w / 15 mo leaseavailable nov 15 — nov 17"
2021-10-19,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,851 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,929 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$3,089 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iiapartment 001-16j2 bedrooms • 2 baths • 925 sqft$3,152 w / 15 mo leaseavailable nov 10 — nov 12"
2021-10-19,"calabasas","finish package iiapartment 001-07g2 bedrooms • 2 baths • 950 sqft$3,207 w / 14 mo leaseavailable dec 09 — dec 11"
2021-10-19,"calabasas","finish package iapartment 001-18j2 bedrooms • 2 baths • 1109 sqft$3,237 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,259 w / 15 mo leaseavailable nov 08 — nov 10"
2021-10-19,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,287 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,315 w / 14 mo leaseavailable dec 06 — dec 08"
2021-10-19,"calabasas","finish package iiapartment 002-37b2 bedrooms • 2 baths • 1109 sqft$3,511 w / 15 mo leaseavailable nov 08 — nov 12"
2021-10-19,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,567 $3,515 w / 15 mo leaseavailable nov 15 — nov 17"
2021-10-19,"calabasas","finish package iiapartment 002-34j2 bedrooms • 2 baths • 1109 sqft$3,568 w / 15 mo leaseavailable oct 20 — oct 24"
2021-10-19,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,586 w / 15 mo leaseavailable nov 22 — nov 24"
2021-10-19,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,610 $2,510 w / 21 mo leaseavailable oct 20 — oct 22"
2021-10-19,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,655 $2,555 w / 21 mo leaseavailable oct 20 — oct 22"
2021-10-19,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$2,685 $2,593 w / 21 mo leaseavailable oct 20 — oct 22"
2021-10-19,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,840 $2,748 w / 18 mo leaseavailable dec 31 — jan 02"
2021-10-19,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,845 w / 20 mo leaseavailable nov 04 — nov 05"
2021-10-19,"east norwalk","apartment 005-1612 bedrooms • 2 baths • 1085 sqft$2,880 w / 20 mo leaseavailable nov 18 — nov 19"
2021-10-19,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,880 w / 21 mo leaseavailable oct 20 — oct 22"
2021-10-19,"east norwalk","apartment 001-2072 bedrooms • 2 baths • 1085 sqft$2,890 w / 20 mo leaseavailable nov 10 — nov 11"
2021-10-19,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$2,940 w / 19 mo leaseavailable dec 18 — dec 19"
2021-10-19,"east norwalk","apartment 002-4302 bedrooms • 2 baths • 1288 sqft$3,050 w / 7 mo leaseavailable nov 25 — nov 26"
