"as_of_date","location","listings"
2021-06-19,"calabasas","finish package iapartment 001-03o2 bedrooms • 2 baths • 950 sqft$2,755 w / 15 mo leaseavailable jul 29 — jul 31"
2021-06-19,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,761 w / 15 mo leaseavailable oct 04 — oct 06"
2021-06-19,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,778 w / 15 mo leaseavailable jun 20 — jun 24"
2021-06-19,"calabasas","finish package iiapartment 001-17j2 bedrooms • 2 baths • 950 sqft$2,904 w / 15 mo leaseavailable jul 28 — jul 30"
2021-06-19,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,907 w / 15 mo leaseavailable jun 20 — jun 24"
2021-06-19,"calabasas","finish package iiapartment 002-40g2 bedrooms • 2 baths • 950 sqft$3,001 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-19,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$3,031 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-19,"calabasas","finish package iiapartment 001-23b2 bedrooms • 2 baths • 925 sqft$3,081 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-19,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,093 w / 15 mo leaseavailable jun 20 — jun 24"
2021-06-19,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$3,107 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-19,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$3,108 w / 15 mo leaseavailable jul 07 — jul 11"
2021-06-19,"calabasas","finish package iiapartment 001-16h2 bedrooms • 2 baths • 925 sqft$3,127 w / 15 mo leaseavailable jul 16 — jul 18"
2021-06-19,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,186 $3,143 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-19,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,186 $3,143 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-19,"calabasas","finish package iiapartment 002-34o2 bedrooms • 2 baths • 950 sqft$3,171 w / 15 mo leaseavailable jul 27 — jul 29"
2021-06-19,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,100 w / 15 mo leaseavailable aug 01 — aug 02"
2021-06-19,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,105 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-19,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$3,125 w / 15 mo leaseavailable aug 18 — aug 19"
2021-06-19,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,315 w / 15 mo leaseavailable jul 07 — jul 08"
