"as_of_date","location","listings"
2021-08-22,"calabasas","finish package iapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,706 w / 15 mo leaseavailable nov 01 — nov 03"
2021-08-22,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,801 w / 15 mo leaseavailable oct 05 — oct 07"
2021-08-22,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$2,820 w / 15 mo leaseavailable sep 10 — sep 12"
2021-08-22,"calabasas","finish package iapartment 001-02g2 bedrooms • 2 baths • 950 sqft$2,874 w / 15 mo leaseavailable aug 30 — sep 03"
2021-08-22,"calabasas","finish package iiapartment 001-22a2 bedrooms • 2 baths • 950 sqft$3,015 w / 15 mo leaseavailable aug 31 — sep 04"
2021-08-22,"calabasas","classic schemeapartment 002-37b2 bedrooms • 2 baths • 950 sqft$3,146 w / 15 mo leaseavailable sep 27 — sep 29"
2021-08-22,"calabasas","finish package iapartment 001-18j2 bedrooms • 2 baths • 1109 sqft$3,172 w / 15 mo leaseavailable sep 21 — sep 23"
2021-08-22,"calabasas","finish package iiapartment 001-20b2 bedrooms • 2 baths • 1313 sqft$3,822 w / 15 mo leaseavailable sep 20 — sep 22"
2021-08-22,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$2,980 w / 15 mo leaseavailable aug 23 — aug 25"
2021-08-22,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,985 w / 15 mo leaseavailable sep 10 — sep 11"
2021-08-22,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,000 w / 15 mo leaseavailable sep 13 — sep 14"
2021-08-22,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$3,015 w / 15 mo leaseavailable sep 11 — sep 12"
2021-08-22,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,175 $3,080 w / 15 mo leaseavailable aug 23 — aug 25"
2021-08-22,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$3,135 w / 14 mo leaseavailable nov 03 — nov 04"
2021-08-22,"east norwalk","apartment 001-1152 bedrooms • 2 baths • 1054 sqft$3,185 w / 15 mo leaseavailable sep 25 — sep 26"
