"as_of_date","location","listings"
2021-06-16,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,603 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-16,"calabasas","finish package iapartment 001-03o2 bedrooms • 2 baths • 950 sqft$2,720 w / 15 mo leaseavailable jul 29 — jul 31"
2021-06-16,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,728 w / 15 mo leaseavailable jun 17 — jun 21"
2021-06-16,"calabasas","finish package iiapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,746 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-16,"calabasas","finish package iiapartment 002-30j2 bedrooms • 2 baths • 925 sqft$2,757 w / 15 mo leaseavailable aug 20 — aug 22"
2021-06-16,"calabasas","finish package iiapartment 001-23b2 bedrooms • 2 baths • 925 sqft$2,826 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-16,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$2,852 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-16,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,862 w / 15 mo leaseavailable jun 17 — jun 21"
2021-06-16,"calabasas","finish package iiapartment 001-16h2 bedrooms • 2 baths • 925 sqft$2,872 w / 15 mo leaseavailable jul 16 — jul 18"
2021-06-16,"calabasas","finish package iiapartment 001-17j2 bedrooms • 2 baths • 950 sqft$2,874 w / 15 mo leaseavailable jul 28 — jul 30"
2021-06-16,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$2,931 $2,889 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-16,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$2,931 $2,889 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-16,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,961 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-16,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,048 w / 15 mo leaseavailable jun 17 — jun 21"
2021-06-16,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,123 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-16,"calabasas","finish package iiapartment 002-34o2 bedrooms • 2 baths • 950 sqft$3,141 w / 15 mo leaseavailable jul 27 — jul 29"
2021-06-16,"calabasas","finish package iiapartment 001-03h2 bedrooms • 2 baths • 1109 sqft$3,208 w / 15 mo leaseavailable jul 24 — jul 26"
2021-06-16,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,075 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-16,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$3,085 w / 15 mo leaseavailable aug 18 — aug 19"
2021-06-16,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,370 w / 15 mo leaseavailable jul 07 — jul 08"
