"as_of_date","location","listings"
2022-01-31,"calabasas","finish package iapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,119 w / 15 mo leaseavailable feb 01 — feb 05"
2022-01-31,"calabasas","finish package iapartment 001-13o2 bedrooms • 2 baths • 950 sqft$3,136 w / 15 mo leaseavailable mar 07 — mar 09"
2022-01-31,"calabasas","finish package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,149 w / 15 mo leaseavailable feb 01 — feb 05"
2022-01-31,"calabasas","finish package iapartment 001-15o2 bedrooms • 2 baths • 925 sqft$3,210 w / 15 mo leaseavailable mar 04 — mar 06"
2022-01-31,"calabasas","finish package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,220 w / 15 mo leaseavailable feb 01 — feb 05"
2022-01-31,"calabasas","finish package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,220 w / 15 mo leaseavailable feb 01 — feb 05"
2022-01-31,"calabasas","finish package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,311 w / 15 mo leaseavailable feb 11 — feb 13"
2022-01-31,"calabasas","finish package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,388 w / 15 mo leaseavailable feb 14 — feb 16"
2022-01-31,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,670 w / 18 mo leaseavailable feb 01 — feb 03"
2022-01-31,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,800 w / 6 mo leaseavailable feb 25 — feb 26"
2022-01-31,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,865 w / 15 mo leaseavailable mar 31 — apr 01"
