"as_of_date","location","listings"
2021-05-22,"calabasas","finish package iapartment 001-01p2 bedrooms • 2 baths • 925 sqft$2,512 w / 14 mo leaseavailable may 23 — may 27"
2021-05-22,"calabasas","finish package iapartment 001-10b2 bedrooms • 2 baths • 950 sqft$2,577 w / 13 mo leaseavailable jun 17 — jun 19"
2021-05-22,"calabasas","finish package iapartment 002-38o2 bedrooms • 2 baths • 950 sqft$2,577 w / 13 mo leaseavailable jul 23 — jul 25"
2021-05-22,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,588 w / 13 mo leaseavailable jun 18 — jun 20"
2021-05-22,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,686 w / 13 mo leaseavailable jul 01 — jul 03"
2021-05-22,"calabasas","finish package iapartment 001-07a2 bedrooms • 2 baths • 950 sqft$2,707 w / 13 mo leaseavailable jun 16 — jun 18"
2021-05-22,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,730 w / 14 mo leaseavailable may 23 — may 27"
2021-05-22,"calabasas","finish package iiapartment 002-29o2 bedrooms • 2 baths • 950 sqft$2,769 w / 13 mo leaseavailable jun 26 — jun 28"
2021-05-22,"calabasas","finish package iiapartment 002-37i2 bedrooms • 2 baths • 950 sqft$2,771 w / 13 mo leaseavailable jun 17 — jun 19"
2021-05-22,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,811 w / 13 mo leaseavailable jul 13 — jul 15"
2021-05-22,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,929 w / 14 mo leaseavailable may 27 — may 31"
2021-05-22,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$2,931 w / 13 mo leaseavailable jul 12 — jul 14"
2021-05-22,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,933 w / 13 mo leaseavailable jul 08 — jul 10"
2021-05-22,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,083 w / 13 mo leaseavailable jun 12 — jun 14"
2021-05-22,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,188 w / 13 mo leaseavailable jun 29 — jul 01"
2021-05-22,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$2,890 w / 15 mo leaseavailable aug 11 — aug 12"
2021-05-22,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$2,970 w / 13 mo leaseavailable jun 25 — jun 26"
2021-05-22,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,125 w / 15 mo leaseavailable jul 05 — jul 06"
