"as_of_date","location","listings"
2021-10-07,"calabasas","finish package iapartment 002-34g2 bedrooms • 2 baths • 950 sqft$2,776 w / 15 mo leaseavailable nov 17 — nov 19"
2021-10-07,"calabasas","classic schemeapartment 001-05b2 bedrooms • 2 baths • 950 sqft$2,820 w / 15 mo leaseavailable nov 11 — nov 13"
2021-10-07,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,851 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iapartment 001-19o2 bedrooms • 2 baths • 950 sqft$2,927 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iapartment 001-22o2 bedrooms • 2 baths • 950 sqft$2,929 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iiapartment 002-40i2 bedrooms • 2 baths • 950 sqft$3,194 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iiapartment 001-16j2 bedrooms • 2 baths • 925 sqft$3,237 w / 15 mo leaseavailable nov 10 — nov 12"
2021-10-07,"calabasas","finish package iapartment 001-18j2 bedrooms • 2 baths • 1109 sqft$3,237 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iapartment 001-03j2 bedrooms • 2 baths • 1109 sqft$3,287 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"calabasas","finish package iiapartment 001-07g2 bedrooms • 2 baths • 950 sqft$3,312 w / 14 mo leaseavailable dec 09 — dec 11"
2021-10-07,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$3,344 w / 15 mo leaseavailable nov 08 — nov 10"
2021-10-07,"calabasas","finish package iiapartment 001-05a2 bedrooms • 2 baths • 950 sqft$3,420 w / 14 mo leaseavailable dec 06 — dec 08"
2021-10-07,"calabasas","classic schemeapartment 002-37b2 bedrooms • 2 baths • 1109 sqft$3,596 w / 15 mo leaseavailable oct 30 — nov 03"
2021-10-07,"calabasas","finish package iiapartment 001-11p2 bedrooms • 2 baths • 1109 sqft$3,652 $3,598 w / 15 mo leaseavailable nov 15 — nov 17"
2021-10-07,"calabasas","finish package iiapartment 002-29p2 bedrooms • 2 baths • 1109 sqft$3,671 w / 15 mo leaseavailable nov 22 — nov 24"
2021-10-07,"calabasas","finish package iiapartment 002-34j2 bedrooms • 2 baths • 1109 sqft$3,673 w / 15 mo leaseavailable oct 08 — oct 12"
2021-10-07,"east norwalk","apartment 002-3232 bedrooms • 2 baths • 1054 sqft$2,630 $2,530 w / 21 mo leaseavailable oct 09 — oct 11"
2021-10-07,"east norwalk","apartment 005-2642 bedrooms • 2 baths • 1080 sqft$2,675 $2,575 w / 21 mo leaseavailable oct 08 — oct 10"
2021-10-07,"east norwalk","apartment 005-1532 bedrooms • 2 baths • 1054 sqft$2,705 w / 21 mo leaseavailable oct 08 — oct 10"
2021-10-07,"east norwalk","apartment 001-2062 bedrooms • 2 baths • 1080 sqft$2,850 $2,757 w / 18 mo leaseavailable dec 31 — jan 02"
2021-10-07,"east norwalk","apartment 001-2152 bedrooms • 2 baths • 1054 sqft$2,885 w / 20 mo leaseavailable nov 04 — nov 05"
2021-10-07,"east norwalk","apartment 005-1612 bedrooms • 2 baths • 1085 sqft$2,890 w / 20 mo leaseavailable nov 18 — nov 19"
2021-10-07,"east norwalk","apartment 001-2072 bedrooms • 2 baths • 1085 sqft$2,895 w / 20 mo leaseavailable nov 10 — nov 11"
2021-10-07,"east norwalk","apartment 003-3332 bedrooms • 2 baths • 1266 sqft$2,900 w / 21 mo leaseavailable oct 09 — oct 11"
