"as_of_date","location","listings"
2021-06-10,"calabasas","finish package iapartment 001-10o2 bedrooms • 2 baths • 950 sqft$2,492 w / 15 mo leaseavailable jun 14 — jun 18"
2021-06-10,"calabasas","classic schemeapartment 002-30j2 bedrooms • 2 baths • 925 sqft$2,527 w / 15 mo leaseavailable aug 04 — aug 06"
2021-06-10,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,603 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-10,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,644 w / 15 mo leaseavailable jul 01 — jul 03"
2021-06-10,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,728 w / 15 mo leaseavailable jun 11 — jun 15"
2021-06-10,"calabasas","finish package iiapartment 001-01h2 bedrooms • 2 baths • 925 sqft$2,741 w / 15 mo leaseavailable jun 30 — jul 02"
2021-06-10,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,746 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-10,"calabasas","finish package iiapartment 001-13a2 bedrooms • 2 baths • 950 sqft$2,748 w / 15 mo leaseavailable jul 22 — jul 24"
2021-06-10,"calabasas","finish package iiapartment 001-04b2 bedrooms • 2 baths • 925 sqft$2,778 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-10,"calabasas","finish package iiapartment 001-19h2 bedrooms • 2 baths • 950 sqft$2,783 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-10,"calabasas","finish package iiapartment 001-23b2 bedrooms • 2 baths • 925 sqft$2,826 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-10,"calabasas","finish package iiapartment 002-28b2 bedrooms • 2 baths • 950 sqft$2,839 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-10,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$2,852 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-10,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,862 w / 15 mo leaseavailable jun 11 — jun 15"
2021-06-10,"calabasas","finish package iiapartment 001-16h2 bedrooms • 2 baths • 925 sqft$2,872 w / 15 mo leaseavailable jul 16 — jul 18"
2021-06-10,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$2,874 w / 15 mo leaseavailable aug 14 — aug 16"
2021-06-10,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$2,931 $2,889 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-10,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$2,931 $2,889 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-10,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,904 w / 15 mo leaseavailable jun 11 — jun 15"
2021-06-10,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,961 w / 15 mo leaseavailable sep 22 — sep 24"
2021-06-10,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,048 w / 15 mo leaseavailable jun 11 — jun 15"
2021-06-10,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,123 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-10,"calabasas","finish package iiapartment 002-34o2 bedrooms • 2 baths • 950 sqft$3,141 w / 15 mo leaseavailable jul 27 — jul 29"
2021-06-10,"calabasas","finish package iapartment 001-03h2 bedrooms • 2 baths • 1109 sqft$3,243 w / 15 mo leaseavailable jul 26 — jul 28"
2021-06-10,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,075 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-10,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$3,090 w / 15 mo leaseavailable aug 18 — aug 19"
