"as_of_date","location","listings"
2021-06-03,"calabasas","finish package iapartment 001-10o2 bedrooms • 2 baths • 950 sqft$2,492 w / 15 mo leaseavailable jun 19 — jun 21"
2021-06-03,"calabasas","classic schemeapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,543 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-03,"calabasas","finish package iapartment 001-23i2 bedrooms • 2 baths • 925 sqft$2,601 w / 15 mo leaseavailable jul 01 — jul 03"
2021-06-03,"calabasas","finish package iapartment 001-07a2 bedrooms • 2 baths • 950 sqft$2,662 w / 15 mo leaseavailable jun 18 — jun 22"
2021-06-03,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,685 w / 15 mo leaseavailable jun 04 — jun 08"
2021-06-03,"calabasas","finish package iiapartment 002-29o2 bedrooms • 2 baths • 950 sqft$2,794 w / 15 mo leaseavailable jun 26 — jun 28"
2021-06-03,"calabasas","classic schemeapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,796 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-03,"calabasas","finish package iiapartment 001-01h2 bedrooms • 2 baths • 925 sqft$2,801 w / 15 mo leaseavailable jun 30 — jul 02"
2021-06-03,"calabasas","finish package iiapartment 001-19h2 bedrooms • 2 baths • 950 sqft$2,843 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-03,"calabasas","finish package iapartment 001-18b2 bedrooms • 2 baths • 1109 sqft$2,853 w / 15 mo leaseavailable jul 01 — jul 03"
2021-06-03,"calabasas","finish package iiapartment 001-04b2 bedrooms • 2 baths • 925 sqft$2,855 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-03,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,923 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-03,"calabasas","finish package iiapartment 001-09h2 bedrooms • 2 baths • 950 sqft$2,939 w / 15 mo leaseavailable jun 04 — jun 08"
2021-06-03,"calabasas","finish package iiapartment 001-19b2 bedrooms • 2 baths • 950 sqft$2,946 w / 15 mo leaseavailable aug 10 — aug 12"
2021-06-03,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$2,991 $2,948 w / 15 mo leaseavailable jul 12 — jul 14"
2021-06-03,"calabasas","finish package iiapartment 001-05i2 bedrooms • 2 baths • 950 sqft$2,954 w / 15 mo leaseavailable jun 04 — jun 08"
2021-06-03,"calabasas","finish package iiapartment 001-05p2 bedrooms • 2 baths • 950 sqft$3,095 $3,052 w / 15 mo leaseavailable jun 04 — jun 08"
2021-06-03,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,108 w / 15 mo leaseavailable jun 14 — jun 18"
2021-06-03,"calabasas","finish package iiapartment 001-11h2 bedrooms • 2 baths • 1109 sqft$3,183 w / 15 mo leaseavailable jul 05 — jul 07"
2021-06-03,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,005 w / 13 mo leaseavailable aug 11 — aug 12"
2021-06-03,"east norwalk","apartment 001-1072 bedrooms • 2 baths • 1084 sqft$3,025 w / 13 mo leaseavailable aug 18 — aug 19"
2021-06-03,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,270 w / 15 mo leaseavailable jul 07 — jul 08"
