"as_of_date","location","listings"
2021-06-24,"calabasas","finish package iapartment 002-33p2 bedrooms • 2 baths • 925 sqft$2,726 w / 15 mo leaseavailable oct 04 — oct 06"
2021-06-24,"calabasas","finish package iapartment 001-03o2 bedrooms • 2 baths • 950 sqft$2,770 w / 15 mo leaseavailable jul 29 — jul 31"
2021-06-24,"calabasas","finish package iapartment 001-06a2 bedrooms • 2 baths • 950 sqft$2,788 w / 15 mo leaseavailable jun 25 — jun 29"
2021-06-24,"calabasas","finish package iiapartment 002-40g2 bedrooms • 2 baths • 950 sqft$2,871 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-24,"calabasas","finish package iiapartment 001-16i2 bedrooms • 2 baths • 925 sqft$2,941 w / 15 mo leaseavailable sep 23 — sep 25"
2021-06-24,"calabasas","finish package iiapartment 002-36i2 bedrooms • 2 baths • 950 sqft$2,958 w / 15 mo leaseavailable jul 16 — jul 20"
2021-06-24,"calabasas","finish package iiapartment 001-03i2 bedrooms • 2 baths • 950 sqft$2,977 w / 15 mo leaseavailable jul 19 — jul 21"
2021-06-24,"calabasas","finish package iiapartment 001-16h2 bedrooms • 2 baths • 925 sqft$2,997 w / 15 mo leaseavailable jul 16 — jul 18"
2021-06-24,"calabasas","finish package iiapartment 001-14a2 bedrooms • 2 baths • 925 sqft$3,056 $3,013 w / 15 mo leaseavailable jul 15 — jul 17"
2021-06-24,"calabasas","finish package iiapartment 002-36g2 bedrooms • 2 baths • 950 sqft$3,056 $3,013 w / 15 mo leaseavailable jul 12 — jul 16"
2021-06-24,"calabasas","finish package iiapartment 001-17a2 bedrooms • 2 baths • 950 sqft$3,073 w / 15 mo leaseavailable jun 25 — jun 29"
2021-06-24,"calabasas","finish package iiapartment 002-34o2 bedrooms • 2 baths • 950 sqft$3,151 w / 15 mo leaseavailable jul 27 — jul 29"
2021-06-24,"calabasas","finish package iiapartment 001-22b2 bedrooms • 2 baths • 1109 sqft$3,243 w / 15 mo leaseavailable aug 09 — aug 11"
2021-06-24,"east norwalk","apartment 004-3462 bedrooms • 2 baths • 1085 sqft$3,125 w / 15 mo leaseavailable jul 31 — aug 01"
2021-06-24,"east norwalk","apartment 001-3052 bedrooms • 2 baths • 1079 sqft$3,130 w / 15 mo leaseavailable aug 11 — aug 12"
2021-06-24,"east norwalk","apartment 004-4452 bedrooms • 2 baths • 1288 sqft$3,290 w / 15 mo leaseavailable jul 07 — jul 08"
