"as_of_date","location","listings"
2022-02-11,"calabasas","classic package iiapartment 001-13o2 bedrooms • 2 baths • 950 sqft$3,161 w / 15 mo leaseavailable mar 04 — mar 06"
2022-02-11,"calabasas","classic package iiapartment 002-32g2 bedrooms • 2 baths • 950 sqft$3,169 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"calabasas","renovated package iiapartment 001-23o2 bedrooms • 2 baths • 925 sqft$3,199 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"calabasas","classic package iiapartment 001-15o2 bedrooms • 2 baths • 925 sqft$3,235 w / 15 mo leaseavailable mar 02 — mar 04"
2022-02-11,"calabasas","renovated package iiapartment 001-22g2 bedrooms • 2 baths • 950 sqft$3,270 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"calabasas","renovated package iiapartment 002-29i2 bedrooms • 2 baths • 950 sqft$3,270 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"calabasas","renovated package iiapartment 002-31i2 bedrooms • 2 baths • 925 sqft$3,323 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"calabasas","renovated package iiapartment 001-08i2 bedrooms • 2 baths • 950 sqft$3,326 w / 15 mo leaseavailable feb 12 — feb 16"
2022-02-11,"east norwalk","apartment 002-2202 bedrooms • 2 baths • 1054 sqft$2,670 w / 17 mo leaseavailable feb 12 — feb 14"
2022-02-11,"east norwalk","apartment 001-2052 bedrooms • 2 baths • 1079 sqft$2,830 w / 15 mo leaseavailable apr 07 — apr 08"
2022-02-11,"east norwalk","apartment 005-1642 bedrooms • 2 baths • 1080 sqft$2,870 w / 15 mo leaseavailable mar 31 — apr 01"
2022-02-11,"east norwalk","apartment 001-3012 bedrooms • 2 baths • 1306 sqft$2,870 w / 9 mo leaseavailable apr 27 — apr 28"
